LOCATION;INDICATOR;SUBJECT;MEASURE;FREQUENCY;TIME;Value;IntRate
USA;LTINT;TOT;PC_PA;A;1965;4,28250;4,2825%
USA;LTINT;TOT;PC_PA;A;1966;4,92333;4,9233%
USA;LTINT;TOT;PC_PA;A;1967;5,07333;5,0733%
USA;LTINT;TOT;PC_PA;A;1968;5,64583;5,6458%
USA;LTINT;TOT;PC_PA;A;1969;6,67083;6,6708%
USA;LTINT;TOT;PC_PA;A;1970;7,34833;7,3483%
USA;LTINT;TOT;PC_PA;A;1971;6,15917;6,1592%
USA;LTINT;TOT;PC_PA;A;1972;6,21000;6,2100%
USA;LTINT;TOT;PC_PA;A;1973;6,84250;6,8425%
USA;LTINT;TOT;PC_PA;A;1974;7,55750;7,5575%
USA;LTINT;TOT;PC_PA;A;1975;7,98750;7,9875%
USA;LTINT;TOT;PC_PA;A;1976;7,61167;7,6117%
USA;LTINT;TOT;PC_PA;A;1977;7,41917;7,4192%
USA;LTINT;TOT;PC_PA;A;1978;8,41000;8,4100%
USA;LTINT;TOT;PC_PA;A;1979;9,44250;9,4425%
USA;LTINT;TOT;PC_PA;A;1980;11,46000;11,4600%
USA;LTINT;TOT;PC_PA;A;1981;13,91083;13,9108%
USA;LTINT;TOT;PC_PA;A;1982;13,00167;13,0017%
USA;LTINT;TOT;PC_PA;A;1983;11,10500;11,1050%
USA;LTINT;TOT;PC_PA;A;1984;12,43833;12,4383%
USA;LTINT;TOT;PC_PA;A;1985;10,62333;10,6233%
USA;LTINT;TOT;PC_PA;A;1986;7,68250;7,6825%
USA;LTINT;TOT;PC_PA;A;1987;8,38417;8,3842%
USA;LTINT;TOT;PC_PA;A;1988;8,84583;8,8458%
USA;LTINT;TOT;PC_PA;A;1989;8,49833;8,4983%
USA;LTINT;TOT;PC_PA;A;1990;8,55000;8,5500%
USA;LTINT;TOT;PC_PA;A;1991;7,85833;7,8583%
USA;LTINT;TOT;PC_PA;A;1992;7,01000;7,0100%
USA;LTINT;TOT;PC_PA;A;1993;5,87333;5,8733%
USA;LTINT;TOT;PC_PA;A;1994;7,08000;7,0800%
USA;LTINT;TOT;PC_PA;A;1995;6,58000;6,5800%
USA;LTINT;TOT;PC_PA;A;1996;6,43833;6,4383%
USA;LTINT;TOT;PC_PA;A;1997;6,35250;6,3525%
USA;LTINT;TOT;PC_PA;A;1998;5,26417;5,2642%
USA;LTINT;TOT;PC_PA;A;1999;5,63667;5,6367%
USA;LTINT;TOT;PC_PA;A;2000;6,02917;6,0292%
USA;LTINT;TOT;PC_PA;A;2001;5,01750;5,0175%
USA;LTINT;TOT;PC_PA;A;2002;4,61083;4,6108%
USA;LTINT;TOT;PC_PA;A;2003;4,01500;4,0150%
USA;LTINT;TOT;PC_PA;A;2004;4,27417;4,2742%
USA;LTINT;TOT;PC_PA;A;2005;4,29000;4,2900%
USA;LTINT;TOT;PC_PA;A;2006;4,79167;4,7917%
USA;LTINT;TOT;PC_PA;A;2007;4,62917;4,6292%
USA;LTINT;TOT;PC_PA;A;2008;3,66667;3,6667%
USA;LTINT;TOT;PC_PA;A;2009;3,25667;3,2567%
USA;LTINT;TOT;PC_PA;A;2010;3,21417;3,2142%
USA;LTINT;TOT;PC_PA;A;2011;2,78583;2,7858%
USA;LTINT;TOT;PC_PA;A;2012;1,80250;1,8025%
USA;LTINT;TOT;PC_PA;A;2013;2,35083;2,3508%
USA;LTINT;TOT;PC_PA;A;2014;2,54083;2,5408%
USA;LTINT;TOT;PC_PA;A;2015;2,13583;2,1358%
USA;LTINT;TOT;PC_PA;A;2016;1,84167;1,8417%
USA;LTINT;TOT;PC_PA;A;2017;2,33000;2,3300%
USA;LTINT;TOT;PC_PA;A;2018;2,91000;2,9100%
USA;LTINT;TOT;PC_PA;A;2019;2,14417;2,1442%
IRL;LTINT;TOT;PC_PA;A;1971;9,38663;9,3866%
IRL;LTINT;TOT;PC_PA;A;1972;9,21729;9,2173%
IRL;LTINT;TOT;PC_PA;A;1973;10,88955;10,8896%
IRL;LTINT;TOT;PC_PA;A;1974;14,85469;14,8547%
IRL;LTINT;TOT;PC_PA;A;1975;14,19172;14,1917%
IRL;LTINT;TOT;PC_PA;A;1976;14,84792;14,8479%
IRL;LTINT;TOT;PC_PA;A;1977;13,09353;13,0935%
IRL;LTINT;TOT;PC_PA;A;1978;13,04019;13,0402%
IRL;LTINT;TOT;PC_PA;A;1979;15,30684;15,3068%
IRL;LTINT;TOT;PC_PA;A;1980;15,59895;15,5990%
IRL;LTINT;TOT;PC_PA;A;1981;17,54469;17,5447%
IRL;LTINT;TOT;PC_PA;A;1982;17,33132;17,3313%
IRL;LTINT;TOT;PC_PA;A;1983;14,12737;14,1274%
IRL;LTINT;TOT;PC_PA;A;1984;14,84707;14,8471%
IRL;LTINT;TOT;PC_PA;A;1985;12,98515;12,9852%
IRL;LTINT;TOT;PC_PA;A;1986;11,40265;11,4027%
IRL;LTINT;TOT;PC_PA;A;1987;11,43991;11,4399%
IRL;LTINT;TOT;PC_PA;A;1988;9,51110;9,5111%
IRL;LTINT;TOT;PC_PA;A;1989;9,31720;9,3172%
IRL;LTINT;TOT;PC_PA;A;1990;10,43910;10,4391%
IRL;LTINT;TOT;PC_PA;A;1991;9,52465;9,5246%
IRL;LTINT;TOT;PC_PA;A;1992;9,46623;9,4662%
IRL;LTINT;TOT;PC_PA;A;1993;7,70083;7,7008%
IRL;LTINT;TOT;PC_PA;A;1994;7,92083;7,9208%
IRL;LTINT;TOT;PC_PA;A;1995;8,25500;8,2550%
IRL;LTINT;TOT;PC_PA;A;1996;7,28917;7,2892%
IRL;LTINT;TOT;PC_PA;A;1997;6,29333;6,2933%
IRL;LTINT;TOT;PC_PA;A;1998;4,79667;4,7967%
IRL;LTINT;TOT;PC_PA;A;1999;4,71083;4,7108%
IRL;LTINT;TOT;PC_PA;A;2000;5,51250;5,5125%
IRL;LTINT;TOT;PC_PA;A;2001;5,01167;5,0117%
IRL;LTINT;TOT;PC_PA;A;2002;5,01000;5,0100%
IRL;LTINT;TOT;PC_PA;A;2003;4,13250;4,1325%
IRL;LTINT;TOT;PC_PA;A;2004;4,07667;4,0767%
IRL;LTINT;TOT;PC_PA;A;2005;3,32917;3,3292%
IRL;LTINT;TOT;PC_PA;A;2006;3,76500;3,7650%
IRL;LTINT;TOT;PC_PA;A;2007;4,30583;4,3058%
IRL;LTINT;TOT;PC_PA;A;2008;4,52583;4,5258%
IRL;LTINT;TOT;PC_PA;A;2009;5,22500;5,2250%
IRL;LTINT;TOT;PC_PA;A;2010;5,73917;5,7392%
IRL;LTINT;TOT;PC_PA;A;2011;9,60167;9,6017%
IRL;LTINT;TOT;PC_PA;A;2012;6,17167;6,1717%
IRL;LTINT;TOT;PC_PA;A;2013;3,79000;3,7900%
IRL;LTINT;TOT;PC_PA;A;2014;2,36750;2,3675%
IRL;LTINT;TOT;PC_PA;A;2015;1,18250;1,1825%
IRL;LTINT;TOT;PC_PA;A;2016;0,73583;0,7358%
IRL;LTINT;TOT;PC_PA;A;2017;0,80167;0,8017%
IRL;LTINT;TOT;PC_PA;A;2018;0,95083;0,9508%
IRL;LTINT;TOT;PC_PA;A;2019;0,33333;0,3333%
DNK;LTINT;TOT;PC_PA;A;1987;11,28435;11,2844%
DNK;LTINT;TOT;PC_PA;A;1988;9,88370;9,8837%
DNK;LTINT;TOT;PC_PA;A;1989;9,70635;9,7064%
DNK;LTINT;TOT;PC_PA;A;1990;10,62874;10,6287%
DNK;LTINT;TOT;PC_PA;A;1991;9,26248;9,2625%
DNK;LTINT;TOT;PC_PA;A;1992;8,98747;8,9875%
DNK;LTINT;TOT;PC_PA;A;1993;7,30279;7,3028%
DNK;LTINT;TOT;PC_PA;A;1994;7,82543;7,8254%
DNK;LTINT;TOT;PC_PA;A;1995;8,27014;8,2701%
DNK;LTINT;TOT;PC_PA;A;1996;7,19293;7,1929%
DNK;LTINT;TOT;PC_PA;A;1997;6,26118;6,2612%
DNK;LTINT;TOT;PC_PA;A;1998;5,03993;5,0399%
DNK;LTINT;TOT;PC_PA;A;1999;4,91720;4,9172%
DNK;LTINT;TOT;PC_PA;A;2000;5,66013;5,6601%
DNK;LTINT;TOT;PC_PA;A;2001;5,09365;5,0937%
DNK;LTINT;TOT;PC_PA;A;2002;5,05597;5,0560%
DNK;LTINT;TOT;PC_PA;A;2003;4,30774;4,3077%
DNK;LTINT;TOT;PC_PA;A;2004;4,30471;4,3047%
DNK;LTINT;TOT;PC_PA;A;2005;3,40363;3,4036%
DNK;LTINT;TOT;PC_PA;A;2006;3,81218;3,8122%
DNK;LTINT;TOT;PC_PA;A;2007;4,28661;4,2866%
DNK;LTINT;TOT;PC_PA;A;2008;4,28143;4,2814%
DNK;LTINT;TOT;PC_PA;A;2009;3,58624;3,5862%
DNK;LTINT;TOT;PC_PA;A;2010;2,92606;2,9261%
DNK;LTINT;TOT;PC_PA;A;2011;2,72935;2,7294%
DNK;LTINT;TOT;PC_PA;A;2012;1,40306;1,4031%
DNK;LTINT;TOT;PC_PA;A;2013;1,74583;1,7458%
DNK;LTINT;TOT;PC_PA;A;2014;1,32667;1,3267%
DNK;LTINT;TOT;PC_PA;A;2015;0,69083;0,6908%
DNK;LTINT;TOT;PC_PA;A;2016;0,32083;0,3208%
DNK;LTINT;TOT;PC_PA;A;2017;0,47667;0,4767%
DNK;LTINT;TOT;PC_PA;A;2018;0,45583;0,4558%
DNK;LTINT;TOT;PC_PA;A;2019;-0,18500;-0,1850%
CZE;LTINT;TOT;PC_PA;A;2001;6,31417;6,3142%
CZE;LTINT;TOT;PC_PA;A;2002;4,87667;4,8767%
CZE;LTINT;TOT;PC_PA;A;2003;4,11583;4,1158%
CZE;LTINT;TOT;PC_PA;A;2004;4,82083;4,8208%
CZE;LTINT;TOT;PC_PA;A;2005;3,54250;3,5425%
CZE;LTINT;TOT;PC_PA;A;2006;3,80000;3,8000%
CZE;LTINT;TOT;PC_PA;A;2007;4,30250;4,3025%
CZE;LTINT;TOT;PC_PA;A;2008;4,63333;4,6333%
CZE;LTINT;TOT;PC_PA;A;2009;4,83750;4,8375%
CZE;LTINT;TOT;PC_PA;A;2010;3,88417;3,8842%
CZE;LTINT;TOT;PC_PA;A;2011;3,70750;3,7075%
CZE;LTINT;TOT;PC_PA;A;2012;2,78167;2,7817%
CZE;LTINT;TOT;PC_PA;A;2013;2,11167;2,1117%
CZE;LTINT;TOT;PC_PA;A;2014;1,57583;1,5758%
CZE;LTINT;TOT;PC_PA;A;2015;0,57500;0,5750%
CZE;LTINT;TOT;PC_PA;A;2016;0,42750;0,4275%
CZE;LTINT;TOT;PC_PA;A;2017;0,98083;0,9808%
CZE;LTINT;TOT;PC_PA;A;2018;1,98167;1,9817%
CZE;LTINT;TOT;PC_PA;A;2019;1,54833;1,5483%
LUX;LTINT;TOT;PC_PA;A;1994;7,15000;7,1500%
LUX;LTINT;TOT;PC_PA;A;1995;7,22917;7,2292%
LUX;LTINT;TOT;PC_PA;A;1996;6,29667;6,2967%
LUX;LTINT;TOT;PC_PA;A;1997;5,59833;5,5983%
LUX;LTINT;TOT;PC_PA;A;1998;4,72833;4,7283%
LUX;LTINT;TOT;PC_PA;A;1999;4,66500;4,6650%
LUX;LTINT;TOT;PC_PA;A;2000;5,51833;5,5183%
LUX;LTINT;TOT;PC_PA;A;2001;4,86083;4,8608%
LUX;LTINT;TOT;PC_PA;A;2002;4,68333;4,6833%
LUX;LTINT;TOT;PC_PA;A;2003;3,31533;3,3153%
LUX;LTINT;TOT;PC_PA;A;2004;2,84126;2,8413%
LUX;LTINT;TOT;PC_PA;A;2005;2,41352;2,4135%
LUX;LTINT;TOT;PC_PA;A;2006;3,30333;3,3033%
LUX;LTINT;TOT;PC_PA;A;2010;2,95009;2,9501%
LUX;LTINT;TOT;PC_PA;A;2011;2,92189;2,9219%
LUX;LTINT;TOT;PC_PA;A;2012;1,83466;1,8347%
LUX;LTINT;TOT;PC_PA;A;2013;1,84962;1,8496%
LUX;LTINT;TOT;PC_PA;A;2014;1,33625;1,3362%
LUX;LTINT;TOT;PC_PA;A;2015;0,36428;0,3643%
LUX;LTINT;TOT;PC_PA;A;2016;-0,17724;-0,1772%
LUX;LTINT;TOT;PC_PA;A;2017;0,50271;0,5027%
LUX;LTINT;TOT;PC_PA;A;2018;0,56406;0,5641%
